Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,currentPrice,adr_pct_20_days,volume_dollars_1day,price_growth_one_month,move_higher_3_months_percent,avg_volume_10_days,volume_cal
EQ,Equillium Inc. Common Stock,$2.63,0.10,3.953%,92363622.0,United States,2018.0,97491,Health Care,Biotechnology: Pharmaceutical Preparations,2.64,16.21527274202368,1298.119973897934,1.1527777087909232,276.05636013899806,171050.0,55416.0
IONM,Assure Holdings Corp. Common Stock,$0.48,0.06,14.286%,3225821.0,United States,,2475364,Health Care,Medical/Dental Instruments,0.628,17.92046166518999,2526.5500458329916,1.1500000037252902,78.50000810250658,5062280.0,531612.0
NRBO,NeuroBo Pharmaceuticals Inc. Common Stock,$4.47,-0.40,-8.214%,21686496.0,United States,2016.0,316780,Health Care,Biotechnology: Pharmaceutical Preparations,4.34,10.014819240441565,632.6999855041504,1.14827579799929,34.61538343975055,89900.0,36280.0
TCRT,Alaunos Therapeutics Inc. Common Stock,$1.63,-0.02,-1.212%,26148141.0,United States,,25551,Health Care,Biotechnology: Pharmaceutical Preparations,1.75,13.148898473743609,2536.1999328136444,1.146496746611552,148.96000226338703,67570.0,28466.0
GOSS,Gossamer Bio Inc. Common Stock,$1.43,0.03,2.143%,322582618.0,United States,2019.0,1426035,Health Care,Biotechnology: Pharmaceutical Preparations,1.38,10.774278871397836,6314.460034608841,1.1462450605301264,55.55555702727521,1565850.0,607358.0
MAPS,WM Technology Inc. Class A Common Stock ,$0.8847,0.0457,5.447%,132145419.0,United States,2019.0,273887,Consumer Discretionary,Other Consumer Services,1.02,6.924353858367982,2910.072058200836,1.1453855983424635,33.72972838002632,345250.0,267117.0
CYCCP,Cyclacel Pharmaceuticals Inc. 6% Convertible Preferred Stock,$18.55,0.34,1.867%,15634960.0,United States,,2224,Health Care,Biotechnology: Pharmaceutical Preparations,18.49,5.145698957534162,419.5799903869629,1.1449855970591198,32.37410160789494,1570.0,102.0
PTIX,Protagenic Therapeutics Inc. Common Stock,$1.11,0.10,9.901%,4922997.0,United States,,10351,Health Care,Biotechnology: Pharmaceutical Preparations,1.2,12.757451305346091,2.6100000143051147,1.144736862743991,64.26136636875633,17830.0,43964.0
LNSR,LENSAR Inc. Common Stock,$4.16,0.02,0.483%,47403433.0,United States,,4218,Health Care,Medical Electronics,4.07,12.96776942688469,1806.4199662208557,1.1442307898043653,56.74603482462894,52500.0,57245.0
VSTM,Verastem Inc. Common Stock,$10.74,-0.10,-0.923%,271379415.0,United States,2012.0,98869,Health Care,Biotechnology: Pharmaceutical Preparations,10.62,6.957186100150237,15783.210107803345,1.1421268283511976,38.63919132230214,135600.0,73968.0
